TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2019,9,10,16,57,20XX COMOX ST,West End,489622.87933100003,5459766.0908699995
Mischief,2019,11,7,12,52,20XX DUNDAS ST,Grandview-Woodland,495411.04147299996,5459114.31906
Mischief,2019,10,15,14,11,20XX E 13TH AVE,Kensington-Cedar Cottage,495352.094388,5456213.51443
Mischief,2019,9,13,18,0,20XX E 19TH AVE,Kensington-Cedar Cottage,495365.65603400004,5455630.45247
Mischief,2019,8,3,21,59,20XX E 61ST AVE,Victoria-Fraserview,495241.450346,5451307.60785
Mischief,2019,7,3,23,25,20XX E 61ST AVE,Victoria-Fraserview,495292.713814,5451307.05459
Mischief,2019,8,8,22,35,20XX E 61ST AVE,Victoria-Fraserview,495292.713814,5451307.05459
Mischief,2019,10,18,21,0,20XX HARO ST,West End,489840.867199,5460013.82713
Mischief,2019,10,16,10,0,20XX HIGHBURY ST,West Point Grey,486353.952705,5457305.311319999
Mischief,2019,9,3,23,0,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495334.864758,5454660.71672
Mischief,2019,9,17,0,0,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495351.24886800005,5454638.14
Mischief,2019,11,12,17,15,20XX PARKER ST,Grandview-Woodland,495427.65265600005,5458111.58144
Mischief,2019,7,1,17,30,20XX TRIUMPH ST,Grandview-Woodland,495466.10029499995,5459025.140459999
Mischief,2019,7,4,18,0,20XX W 10TH AVE,Kitsilano,488985.94361099997,5456690.39167
Mischief,2019,7,4,21,15,20XX W 10TH AVE,Kitsilano,488985.94361099997,5456690.39167
Mischief,2019,7,23,18,45,20XX W 1ST AVE,Kitsilano,488915.014112,5457564.2221
Mischief,2019,8,28,0,30,20XX W 1ST AVE,Kitsilano,489056.129029,5457560.39254
Mischief,2019,7,17,18,0,20XX W 3RD AVE,Kitsilano,488964.291817,5457376.58229
Mischief,2019,9,8,20,0,20XX W 3RD AVE,Kitsilano,489056.74661800003,5457365.22976
Mischief,2019,7,17,11,30,20XX W 41ST AVE,Kerrisdale,488918.688873,5453534.90857
Mischief,2019,7,17,18,0,20XX W 63RD AVE,Kerrisdale,488881.373386,5451267.05652
Mischief,2019,11,1,18,0,20XX W BROADWAY AVE,Kitsilano,489038.294384,5456786.44739
Mischief,2019,9,22,19,19,20XX WOODLAND DR,Grandview-Woodland,494643.20714899997,5457075.29688
Mischief,2019,10,14,23,45,20XX YORK AVE,Kitsilano,488974.18152,5457668.2516
Mischief,2019,9,27,16,31,21XX ASH ST,Fairview,491463.302939,5457054.97001
Mischief,2019,9,23,18,0,21XX BRUNSWICK ST,Mount Pleasant,492954.285326,5457018.77394
Mischief,2019,7,2,0,0,21XX DUNDAS ST,Grandview-Woodland,495565.71055600006,5459122.92693
Mischief,2019,7,22,22,0,21XX DUNDAS ST,Grandview-Woodland,495565.71055600006,5459122.92693
Mischief,2019,9,16,0,6,21XX E 28TH AVE,Kensington-Cedar Cottage,495501.75784,5454787.308019999
Mischief,2019,7,22,2,0,21XX E 37TH AVE,Kensington-Cedar Cottage,495358.655161,5453789.98872
Mischief,2019,10,22,16,40,21XX E 41ST AVE,Victoria-Fraserview,495395.399089,5453336.45907
Mischief,2019,8,12,22,0,21XX E 4TH AVE,Grandview-Woodland,495544.218163,5457106.9859
Mischief,2019,10,24,17,0,21XX E 5TH AVE,Grandview-Woodland,495500.745401,5457015.203480001
Mischief,2019,10,24,20,0,21XX E 5TH AVE,Grandview-Woodland,495500.745401,5457015.203480001
Mischief,2019,11,12,17,36,21XX E HASTINGS ST,Grandview-Woodland,495584.734539,5458710.58626
Mischief,2019,7,23,0,0,21XX GRAVELEY ST,Grandview-Woodland,495540.425464,5457525.016009999
Mischief,2019,7,19,10,0,21XX GUELPH ST,Mount Pleasant,493093.492206,5457021.591630001
Mischief,2019,10,14,4,56,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495363.30651,5454629.46801
Mischief,2019,8,3,16,16,21XX MCLEAN DR,Grandview-Woodland,494511.396898,5457009.2454
Mischief,2019,7,28,8,33,21XX SKEENA ST,Hastings-Sunrise,497933.133344,5456981.313709999
Mischief,2019,9,10,19,0,21XX VENABLES ST,Grandview-Woodland,495619.571942,5458202.8736
Mischief,2019,7,19,18,40,21XX W 38TH AVE,Arbutus Ridge,488512.985192,5453849.05562
Mischief,2019,7,20,1,0,21XX W 38TH AVE,Arbutus Ridge,488512.985192,5453849.05562
Mischief,2019,7,20,16,46,21XX W 38TH AVE,Arbutus Ridge,488512.985192,5453849.05562
Mischief,2019,7,8,5,0,21XX W 48TH AVE,Kerrisdale,488650.413433,5452822.59545
Mischief,2019,9,17,11,28,21XX W BROADWAY AVE,Kitsilano,488775.383854,5456793.596
Mischief,2019,9,13,12,0,21XX WALL ST,Grandview-Woodland,495575.402471,5459400.563080001
Mischief,2019,7,19,22,38,21XX WALL ST,Grandview-Woodland,495623.123375,5459490.13181
Mischief,2019,7,13,16,5,22XX CAMBIE ST,Mount Pleasant,491656.68272299995,5456919.97441
Mischief,2019,10,29,11,0,22XX CASSIAR ST,Hastings-Sunrise,497748.163663,5456793.6991
Mischief,2019,7,28,18,0,22XX CLARK DR,Grandview-Woodland,494370.82580299996,5456925.4434400005
Mischief,2019,10,17,18,22,22XX COLLINGWOOD ST,Kitsilano,486770.225008,5457088.83519
Mischief,2019,9,16,17,40,22XX COMMERCIAL DR,Grandview-Woodland,494920.442745,5456843.82684
Mischief,2019,7,18,16,30,22XX E 1ST AVE,Grandview-Woodland,495646.10533999995,5457413.7283
Mischief,2019,9,24,10,33,22XX E 25TH AVE,Kensington-Cedar Cottage,495744.556197,5455034.45688
Mischief,2019,8,23,2,0,22XX E 27TH AVE,Kensington-Cedar Cottage,495724.798486,5454879.3973199995
Mischief,2019,7,4,17,0,22XX E 28TH AVE,Kensington-Cedar Cottage,495690.263604,5454777.4856199995
Mischief,2019,7,28,5,49,22XX E 28TH AVE,Kensington-Cedar Cottage,495695.585003,5454777.4686
Mischief,2019,8,30,9,33,22XX E 28TH AVE,Kensington-Cedar Cottage,495695.585003,5454777.4686
Mischief,2019,9,2,0,0,22XX E 30TH AVE,Kensington-Cedar Cottage,495446.631409,5454437.74967
Mischief,2019,9,20,9,0,22XX E 43RD AVE,Victoria-Fraserview,495491.659464,5453154.50627
Mischief,2019,9,11,19,0,22XX E 4TH AVE,Grandview-Woodland,495725.28612600005,5457117.261609999
Mischief,2019,10,24,21,20,22XX E 8TH AVE,Grandview-Woodland,495629.50005699997,5456711.404130001
Mischief,2019,7,8,13,9,22XX E HASTINGS ST,Grandview-Woodland,495695.163204,5458710.29856
Mischief,2019,9,12,11,46,22XX E HASTINGS ST,Grandview-Woodland,495763.233209,5458710.08871
Mischief,2019,8,29,22,0,22XX FERNDALE ST,Grandview-Woodland,495689.518434,5458541.21315
Mischief,2019,11,1,3,0,22XX FERNDALE ST,Grandview-Woodland,495689.518434,5458541.21315
Mischief,2019,8,20,19,0,22XX FERNDALE ST,Grandview-Woodland,495706.972917,5458541.00794
Mischief,2019,7,11,22,0,22XX HERMON DR,Hastings-Sunrise,497850.520979,5456831.2323199995
Mischief,2019,11,1,15,7,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495525.59450600005,5454511.23697
Mischief,2019,7,14,16,0,22XX MANNERING AVE,Kensington-Cedar Cottage,495601.34414899995,5454206.48213
Mischief,2019,8,14,15,0,22XX MANNERING AVE,Kensington-Cedar Cottage,495704.801108,5454214.6985599995
Mischief,2019,8,31,18,59,22XX NAPIER ST,Grandview-Woodland,495699.103019,5457997.256
Mischief,2019,7,3,22,0,22XX NEWPORT AVE,Victoria-Fraserview,495587.70265200007,5451384.94877
Mischief,2019,8,14,20,30,22XX TRIMBLE ST,West Point Grey,485022.992016,5457200.4499699995
Mischief,2019,7,3,8,0,22XX VANNESS AVE,Kensington-Cedar Cottage,495603.325954,5455243.79251
Mischief,2019,11,9,22,32,22XX VANNESS AVE,Kensington-Cedar Cottage,495663.926874,5455205.234759999
Mischief,2019,8,24,23,0,22XX W 1ST AVE,Kitsilano,488712.57539300004,5457569.63813
Mischief,2019,9,16,23,0,22XX W 2ND AVE,Kitsilano,488590.02486199996,5457483.69265
Mischief,2019,8,12,17,0,22XX W 2ND AVE,Kitsilano,488697.28791199997,5457480.96086
Mischief,2019,9,17,16,0,22XX W 2ND AVE,Kitsilano,488697.28791199997,5457480.96086
Mischief,2019,10,3,4,0,22XX W 2ND AVE,Kitsilano,488697.28791199997,5457480.96086
Mischief,2019,11,13,16,4,22XX W 4TH AVE,Kitsilano,488692.09404799994,5457282.36986
Mischief,2019,7,23,1,38,22XX W 4TH AVE,Kitsilano,488698.46178199997,5457273.06857
Mischief,2019,7,18,20,20,22XX W 6TH AVE,Kitsilano,488700.01976099994,5457083.03088
Mischief,2019,9,20,8,30,22XX W 8TH AVE,Kitsilano,488654.00172,5456900.20869
Mischief,2019,8,1,0,28,22XX W BROADWAY AVE,Kitsilano,488586.101563,5456798.8397699995
Mischief,2019,8,27,7,0,22XX W BROADWAY AVE,Kitsilano,488645.57730600005,5456797.1958800005
Mischief,2019,9,4,13,43,22XX W BROADWAY AVE,Kitsilano,488650.16843599995,5456797.06933
Mischief,2019,10,6,8,41,22XX YEW ST,Kitsilano,488712.59296499996,5457059.80219
Mischief,2019,9,2,12,0,23XX BALACLAVA ST,Kitsilano,487349.41955500003,5456977.35654
Mischief,2019,9,6,2,53,23XX BOUNDARY RD,Renfrew-Collingwood,498269.625018,5456841.19343
Mischief,2019,7,22,7,39,23XX BRUNSWICK ST,Mount Pleasant,492948.046221,5456779.60289
Mischief,2019,10,7,20,51,23XX CAMBIE ST,Mount Pleasant,491656.42229899997,5456901.552209999
Mischief,2019,11,6,18,0,23XX CYPRESS ST,Kitsilano,489221.40233500005,5456900.91103
Mischief,2019,11,5,22,0,23XX DUNBAR ST,Kitsilano,486637.629626,5457030.08009
Mischief,2019,9,2,19,0,23XX E 17TH AVE,Kensington-Cedar Cottage,495764.74141899997,5455810.21276
Mischief,2019,10,25,20,30,23XX GRANVILLE ST,Fairview,489926.999111,5456911.5007
Mischief,2019,8,21,4,29,23XX GUELPH ST,Mount Pleasant,493100.15681899997,5456860.0393199995
Mischief,2019,10,11,8,30,23XX GUELPH ST,Mount Pleasant,493100.15681899997,5456860.0393199995
Mischief,2019,9,25,22,9,23XX KINGSWAY AVE,Renfrew-Collingwood,495813.328922,5454309.2422400005
Mischief,2019,11,8,16,36,23XX KINGSWAY AVE,Renfrew-Collingwood,495813.328922,5454309.2422400005
Mischief,2019,7,6,10,0,23XX NOOTKA ST,Hastings-Sunrise,496981.42753000004,5456697.44766
Mischief,2019,7,18,18,14,23XX PINE ST,Fairview,489577.318355,5456966.79335
Mischief,2019,10,4,14,42,23XX QUEBEC ST,Mount Pleasant,492518.434213,5456878.295530001
Mischief,2019,11,8,12,5,23XX SCOTIA ST,Mount Pleasant,492809.23036499997,5456869.4889
Mischief,2019,7,5,13,30,23XX ST GEORGE ST,Mount Pleasant,493240.97696999996,5456843.78914
Mischief,2019,7,13,3,40,23XX TURNER ST,Grandview-Woodland,495796.43929300003,5458480.92459
Mischief,2019,8,3,0,30,23XX W 39TH AVE,Arbutus Ridge,488310.04432399996,5453755.658009999
Mischief,2019,8,25,19,31,23XX W 4TH AVE,Kitsilano,488514.05989,5457287.229309999
Mischief,2019,10,8,11,30,23XX W 4TH AVE,Kitsilano,488533.13804700004,5457277.24601
Mischief,2019,10,11,12,0,23XX W BROADWAY AVE,Kitsilano,488521.998746,5456800.613030001
Mischief,2019,8,29,22,30,23XX WALL ST,Grandview-Woodland,495762.419138,5459683.30952
Mischief,2019,10,9,23,0,23XX WALL ST,Grandview-Woodland,495820.19254200003,5459725.23905
Mischief,2019,8,6,20,0,23XX YORK AVE,Kitsilano,488542.26781000005,5457670.58001
Mischief,2019,10,11,23,0,24XX E 12TH AVE,Renfrew-Collingwood,495896.740438,5456271.13233
Mischief,2019,8,22,18,0,24XX E 28TH AVE,Renfrew-Collingwood,495884.96877399995,5454734.84415
Mischief,2019,11,2,2,2,24XX E HASTINGS ST,Hastings-Sunrise,495999.551246,5458718.57203
Mischief,2019,10,21,20,54,24XX E HASTINGS ST,Hastings-Sunrise,496020.52308500005,5458718.52068
Mischief,2019,7,19,6,0,24XX KAMLOOPS ST,Hastings-Sunrise,496014.647263,5456684.73387
Mischief,2019,10,26,14,0,24XX LAKEWOOD DR,Grandview-Woodland,495491.651195,5456712.93788
Mischief,2019,9,14,4,30,24XX MANITOBA ST,Mount Pleasant,492234.076319,5456783.15021
Mischief,2019,7,1,5,0,24XX PARKER ST,Hastings-Sunrise,495956.682717,5458113.238969999
Mischief,2019,10,4,21,28,24XX QUEBEC ST,Mount Pleasant,492515.616621,5456775.05123
Mischief,2019,7,18,22,0,24XX TRINITY ST,Hastings-Sunrise,495896.803195,5459659.216630001
Mischief,2019,9,5,12,4,24XX TURNER ST,Hastings-Sunrise,495923.947282,5458489.56719
Mischief,2019,11,10,22,10,24XX VICTORIA DR,Grandview-Woodland,495199.67047700007,5456622.41459
Mischief,2019,7,15,1,15,24XX W 13TH AVE,Kitsilano,488339.82859399996,5456387.93836
Mischief,2019,9,28,0,0,24XX W 15TH AVE,Kitsilano,488213.32521899993,5456192.741830001
Mischief,2019,10,31,12,52,24XX W 6TH AVE,Kitsilano,488306.66692,5457101.8576
Mischief,2019,7,11,6,59,25XX ASH ST,Fairview,491452.827358,5456688.17495
Mischief,2019,7,19,0,0,25XX BLENHEIM ST,Kitsilano,487058.94803500007,5456821.40706
Mischief,2019,7,17,18,47,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494925.22691599996,5456538.01105
Mischief,2019,8,8,8,59,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494925.390292,5456548.80251
Mischief,2019,9,9,12,33,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494925.390292,5456548.80251
Mischief,2019,9,16,10,37,25XX CROWN ST,West Point Grey,485894.25773599994,5456792.15224
Mischief,2019,11,4,19,0,25XX CROWN ST,West Point Grey,485894.25773599994,5456792.15224
Mischief,2019,10,13,15,0,25XX E 19TH AVE,Renfrew-Collingwood,496158.65846400004,5455611.07726
Mischief,2019,10,15,19,30,25XX E 19TH AVE,Renfrew-Collingwood,496158.65846400004,5455611.07726
Mischief,2019,10,27,10,0,25XX E 22ND AVE,Renfrew-Collingwood,496116.42447200004,5455330.19285
Mischief,2019,9,20,14,0,25XX E BROADWAY AVE,Hastings-Sunrise,496081.585892,5456589.07697
Mischief,2019,9,23,23,43,25XX E BROADWAY AVE,Hastings-Sunrise,496081.585892,5456589.07697
Mischief,2019,7,2,7,45,25XX E GEORGIA ST,Hastings-Sunrise,496037.92597399995,5458398.60547
Mischief,2019,7,1,10,42,25XX E HASTINGS ST,Hastings-Sunrise,496186.03080699994,5458718.05826
Mischief,2019,7,27,11,31,25XX E PENDER ST,Hastings-Sunrise,496107.99943599995,5458605.26269
Mischief,2019,8,18,10,55,25XX GRANVILLE ST,Fairview,489914.323528,5456758.46926
Mischief,2019,10,11,20,19,25XX GRANVILLE ST,Fairview,489923.49132299994,5456756.643180001
Mischief,2019,8,11,14,53,25XX GRANVILLE ST,Fairview,489924.415301,5456683.47024
Mischief,2019,9,13,12,38,25XX KINGSWAY AVE,Renfrew-Collingwood,496095.00998000003,5454111.53017
Mischief,2019,7,29,23,0,25XX MAIN ST,Mount Pleasant,492656.603037,5456597.75156
Mischief,2019,7,3,20,0,25XX MAPLE ST,Kitsilano,489040.930107,5456721.29205
Mischief,2019,9,22,15,45,25XX PANDORA ST,Hastings-Sunrise,496160.96295200003,5458921.15701
Mischief,2019,7,23,0,0,25XX SE MARINE DR,Killarney,496045.82042299997,5450490.2147699995
Mischief,2019,9,29,21,0,25XX W 10TH AVE,Kitsilano,488169.82353999995,5456703.37017
Mischief,2019,9,10,7,45,25XX W 14TH AVE,Kitsilano,488158.261567,5456300.37697
Mischief,2019,9,8,5,52,25XX W 15TH AVE,Kitsilano,488161.33801300003,5456184.55255
Mischief,2019,10,18,13,47,25XX W 1ST AVE,Kitsilano,488130.54381400003,5457595.71619
Mischief,2019,10,17,9,45,25XX W 2ND AVE,Kitsilano,488195.377868,5457484.82378
Mischief,2019,9,1,20,32,25XX W BROADWAY AVE,Kitsilano,488178.768978,5456810.55057
Mischief,2019,7,26,21,0,25XX WOODLAND DR,Kensington-Cedar Cottage,494646.199578,5456618.9294
Mischief,2019,7,5,3,15,26XX CHARLES ST,Hastings-Sunrise,496224.078263,5457831.88201
Mischief,2019,9,27,16,0,26XX CLARK DR,Kensington-Cedar Cottage,494367.12219399994,5456466.91457
Mischief,2019,11,4,3,30,26XX E 23RD AVE,Renfrew-Collingwood,496265.85531899997,5455221.70366
Mischief,2019,10,22,9,41,26XX E HASTINGS ST,Hastings-Sunrise,496273.47776599997,5458708.67129
Mischief,2019,10,11,17,0,26XX E HASTINGS ST,Hastings-Sunrise,496285.85296000005,5458708.63711
Mischief,2019,11,11,21,30,26XX E HASTINGS ST,Hastings-Sunrise,496292.902265,5458708.61768
Mischief,2019,9,5,17,0,26XX E PENDER ST,Hastings-Sunrise,496228.783417,5458604.96509
Mischief,2019,10,22,19,15,26XX FRANKLIN ST,Hastings-Sunrise,496240.88906300004,5458809.22563
Mischief,2019,7,31,14,23,26XX NANAIMO ST,Kensington-Cedar Cottage,495878.283951,5456491.14338
Mischief,2019,7,23,2,0,26XX NAPIER ST,Hastings-Sunrise,496225.17428999994,5458020.825130001
Mischief,2019,8,12,18,0,26XX NAPIER ST,Hastings-Sunrise,496331.889672,5458020.636030001
Mischief,2019,7,29,1,0,26XX SASAMAT ST,West Point Grey,484789.887126,5456805.064780001
Mischief,2019,10,24,9,18,26XX ST CATHERINES ST,Mount Pleasant,493800.14193100005,5456521.16692
Mischief,2019,10,10,23,0,26XX TRANS CANADA HWY,Hastings-Sunrise,497820.30993100005,5457814.6728
Mischief,2019,10,11,19,30,26XX VICTORIA DR,Kensington-Cedar Cottage,495198.49918199994,5456503.35543
Mischief,2019,9,8,22,30,26XX W 19TH AVE,Arbutus Ridge,488022.523016,5455865.53735
Mischief,2019,7,3,19,38,26XX W 37TH AVE,Arbutus Ridge,488013.51789099997,5453973.79334
Mischief,2019,10,4,21,39,26XX WATSON ST,Mount Pleasant,492703.01860699995,5456557.7937199995
Mischief,2019,10,31,23,12,26XX YEW ST,Kitsilano,488702.890999,5456691.51916
Mischief,2019,7,31,3,40,27XX CRANBERRY DR,Kitsilano,488823.05616000004,5456555.284109999
Mischief,2019,7,8,17,17,27XX DUKE ST,Renfrew-Collingwood,496439.092168,5453988.25969
Mischief,2019,8,1,0,0,27XX E 12TH AVE,Renfrew-Collingwood,496447.804613,5456225.092130001
Mischief,2019,11,5,20,10,27XX E 12TH AVE,Renfrew-Collingwood,496447.804613,5456225.092130001
Mischief,2019,10,17,9,21,27XX E 41ST AVE,Renfrew-Collingwood,496407.273984,5453336.868369999
Mischief,2019,8,15,2,0,27XX E 4TH AVE,Hastings-Sunrise,496408.761428,5457097.50424
Mischief,2019,10,17,0,40,27XX E 56TH AVE,Victoria-Fraserview,496159.906342,5451793.303730001
Mischief,2019,9,22,22,34,27XX E 57TH AVE,Victoria-Fraserview,496259.425584,5451701.092759999
Mischief,2019,11,7,0,0,27XX E HASTINGS ST,Hastings-Sunrise,496482.314975,5458717.19605
Mischief,2019,7,1,4,25,27XX E PENDER ST,Hastings-Sunrise,496588.27211,5458603.232340001
Mischief,2019,11,9,12,55,27XX ETON ST,Hastings-Sunrise,496486.659542,5459437.17992
Mischief,2019,11,10,1,18,27XX FRANKLIN ST,Hastings-Sunrise,496421.931679,5458809.0738699995
Mischief,2019,7,13,5,42,27XX GRANVILLE ST,Fairview,489921.240788,5456547.71294
Mischief,2019,9,26,1,57,27XX GUELPH ST,Mount Pleasant,493093.905049,5456397.31919
Mischief,2019,10,10,19,30,27XX GUELPH ST,Mount Pleasant,493093.905049,5456397.31919
Mischief,2019,10,22,17,30,27XX MAIN ST,Mount Pleasant,492636.073517,5456443.86789
Mischief,2019,11,8,18,31,27XX MAIN ST,Mount Pleasant,492657.90507399995,5456471.531169999
Mischief,2019,10,17,23,0,27XX OXFORD ST,Hastings-Sunrise,496527.725838,5459210.09844
Mischief,2019,8,13,1,40,27XX PRINCE EDWARD ST,Mount Pleasant,493003.48486,5456372.64542
Mischief,2019,7,12,22,0,27XX PRINCE EDWARD ST,Mount Pleasant,493005.603775,5456409.20154
Mischief,2019,9,9,19,20,27XX RENFREW ST,Renfrew-Collingwood,496777.467017,5456365.5863
Mischief,2019,10,4,9,51,27XX SEMLIN DR,Kensington-Cedar Cottage,495345.76916499995,5456331.3719
Mischief,2019,11,12,21,0,27XX ST CATHERINES ST,Mount Pleasant,493799.127666,5456414.95284
Mischief,2019,11,3,9,45,27XX STANLEY PARK DR,Stanley Park,491036.725704,5460861.161040001
Mischief,2019,10,9,18,31,27XX TURNER ST,Hastings-Sunrise,496516.37331800006,5458479.345369999
Mischief,2019,7,14,18,0,27XX W 14TH AVE,Kitsilano,487884.32118599996,5456318.20446
Mischief,2019,8,8,15,37,27XX W 20TH AVE,Arbutus Ridge,487811.33071999997,5455777.85066
Mischief,2019,9,19,23,36,27XX W BROADWAY AVE,Kitsilano,487771.45098100003,5456821.8614300005
Mischief,2019,9,24,6,52,27XX W BROADWAY AVE,Kitsilano,487845.271675,5456819.64963
Mischief,2019,9,16,18,30,27XX W BROADWAY AVE,Kitsilano,487846.390751,5456828.76459
Mischief,2019,7,4,20,18,27XX WILLIAM ST,Hastings-Sunrise,496531.988096,5457936.855880001
Mischief,2019,8,30,19,3,28XX ALAMEIN AVE,Arbutus Ridge,487743.26629899995,5455273.7643099995
Mischief,2019,10,21,18,10,28XX ARBUTUS ST,Kitsilano,488857.24743900006,5456424.46125
Mischief,2019,8,18,3,12,28XX COMMERCIAL DR,Kensington-Cedar Cottage,494912.279966,5456220.92373
Mischief,2019,8,18,13,0,28XX E 44TH AVE,Killarney,496609.36069799995,5453045.41187
Mischief,2019,7,3,13,0,28XX E 45TH AVE,Killarney,496639.51114300004,5452951.12851
Mischief,2019,7,31,5,0,28XX E 48TH AVE,Killarney,496529.67803500005,5452564.83111
Mischief,2019,9,1,18,0,28XX E 7TH AVE,Hastings-Sunrise,496590.12373500003,5456785.34902
Mischief,2019,9,2,1,45,28XX E 7TH AVE,Hastings-Sunrise,496590.12373500003,5456785.34902
Mischief,2019,9,7,12,30,28XX FRANKLIN ST,Hastings-Sunrise,496727.035563,5458817.24098
Mischief,2019,8,27,19,0,28XX FRASER ST,Mount Pleasant,493515.229027,5456328.62182
Mischief,2019,7,23,14,52,28XX GRANDVIEW HWY,Renfrew-Collingwood,496590.02597200003,5456154.75087
Mischief,2019,10,19,9,48,28XX GRANDVIEW HWY,Renfrew-Collingwood,496751.091808,5456164.25381
Mischief,2019,7,29,22,0,28XX GRANT ST,Hastings-Sunrise,496597.68070699996,5457618.49976
Mischief,2019,9,16,13,30,28XX GRANVILLE ST,Fairview,489901.429354,5456353.73204
Mischief,2019,8,17,18,25,28XX GRANVILLE ST,Fairview,489912.891549,5456454.3011300005
Mischief,2019,9,10,22,30,28XX KITCHENER ST,Hastings-Sunrise,496599.37451999995,5457722.81288
Mischief,2019,9,17,17,24,28XX LAUREL ST,Fairview,490959.850622,5456424.68363
Mischief,2019,9,13,8,41,28XX OXFORD ST,Hastings-Sunrise,496613.314569,5459209.70555
Mischief,2019,10,13,7,2,28XX SPRUCE ST,Fairview,490600.514094,5456349.708869999
Mischief,2019,9,21,0,0,28XX TRIMBLE ST,West Point Grey,485003.46188500006,5456519.32704
Mischief,2019,9,20,18,0,28XX W 23RD AVE,Arbutus Ridge,487680.42065200006,5455466.81183
Mischief,2019,10,15,19,46,28XX W 39TH AVE,Arbutus Ridge,487687.09837100003,5453767.4089
Mischief,2019,10,28,16,0,28XX W 3RD AVE,Kitsilano,487753.711956,5457396.660519999
Mischief,2019,7,22,15,30,28XX W 41ST AVE,Kerrisdale,487803.601203,5453558.97654
Mischief,2019,9,22,2,42,28XX WOODLAND DR,Kensington-Cedar Cottage,494633.085929,5456269.5588
Mischief,2019,8,22,14,0,29XX CHARLES ST,Hastings-Sunrise,496835.29890200007,5457829.66042
Mischief,2019,7,14,10,0,29XX E 22ND AVE,Renfrew-Collingwood,496861.717745,5455322.506580001
Mischief,2019,9,24,21,30,29XX E 42ND AVE,Killarney,496656.72226,5453242.62865
Mischief,2019,10,2,21,30,29XX E 56TH AVE,Killarney,496675.02348000003,5451774.81474
Mischief,2019,9,1,0,0,29XX E BROADWAY AVE,Hastings-Sunrise,496866.235969,5456580.25206
Mischief,2019,11,4,0,0,29XX E HASTINGS ST,Hastings-Sunrise,496808.71007,5458716.7970199995
Mischief,2019,8,26,0,6,29XX E HASTINGS ST,Hastings-Sunrise,496816.261071,5458716.8049
Mischief,2019,8,5,10,37,29XX E KENT AVE S,Killarney,496578.489512,5450383.38849
Mischief,2019,10,25,9,30,29XX E PENDER ST,Hastings-Sunrise,496818.192333,5458602.080680001
Mischief,2019,10,14,6,36,29XX FIR ST,Fairview,489731.774658,5456347.579030001
Mischief,2019,8,14,17,30,29XX KITCHENER ST,Hastings-Sunrise,496845.320769,5457721.36785
Mischief,2019,9,11,18,30,29XX RENFREW ST,Renfrew-Collingwood,496766.405564,5456152.42526
Mischief,2019,10,12,23,30,29XX SPRUCE ST,Fairview,490599.39119700005,5456296.368530001
Mischief,2019,9,10,12,33,29XX W 4TH AVE,Kitsilano,487499.44374399993,5457315.3089
Mischief,2019,10,8,2,30,29XX W BROADWAY AVE,Kitsilano,487605.932212,5456824.76124
Mischief,2019,11,10,21,30,2X E 6TH AVE,Mount Pleasant,492412.96378199995,5456986.86996
Mischief,2019,7,14,8,25,2X E HASTINGS ST,Central Business District,492452.859384,5458751.6999
Mischief,2019,7,20,23,37,2X E HASTINGS ST,Central Business District,492452.859384,5458751.6999
Mischief,2019,8,19,20,39,2X E HASTINGS ST,Central Business District,492452.859384,5458751.6999
Mischief,2019,10,19,7,52,2X E HASTINGS ST,Central Business District,492452.859384,5458751.6999
Mischief,2019,11,6,20,0,2X W 2ND AVE,Mount Pleasant,492339.798824,5457398.24578
Mischief,2019,8,25,8,36,2X W HASTINGS ST,Central Business District,492362.39853400004,5458761.3541
Mischief,2019,10,24,4,38,2X W HASTINGS ST,Central Business District,492362.39853400004,5458761.3541
Mischief,2019,7,13,21,0,2X WATER ST,Central Business District,492387.035404,5458991.66105
Mischief,2019,11,5,21,0,2XX ABBOTT ST,Central Business District,492250.51608800003,5458999.02634
Mischief,2019,7,18,17,16,2XX ABBOTT ST,Central Business District,492255.560222,5459018.3351
Mischief,2019,7,7,22,49,2XX ABBOTT ST,Central Business District,492261.998592,5459006.80311
Mischief,2019,10,21,13,7,2XX ABBOTT ST,Central Business District,492264.9678,5459018.16933
Mischief,2019,11,10,12,20,2XX CARRALL ST,Central Business District,492424.71458900004,5458971.178309999
Mischief,2019,8,14,8,15,2XX CENTRAL ST,Strathcona,492756.58418299997,5457623.45315
Mischief,2019,9,9,6,30,2XX COLUMBIA ST,Central Business District,492572.891546,5458943.03121
Mischief,2019,9,22,7,2,2XX COLUMBIA ST,Central Business District,492572.891546,5458943.03121
Mischief,2019,7,23,5,48,2XX DUNLEVY AVE,Strathcona,493060.822683,5458876.75238
Mischief,2019,7,30,11,5,2XX DUNLEVY AVE,Strathcona,493061.667079,5458907.6232900005
Mischief,2019,10,22,16,56,2XX DUNLEVY AVE,Strathcona,493061.667079,5458907.6232900005
